Title,Note,URL,Tags,Comment
,,,,
KIELO COFFEE AKIHABARA,,https://www.google.com/maps/place/KIELO+COFFEE+AKIHABARA/data=!4m2!3m1!1s0x60188f20ebd39abd:0x43de0e1343558110,,
Acid Coffee Tokyo,,https://www.google.com/maps/place/Acid+Coffee+Tokyo/data=!4m2!3m1!1s0x60188dc2afdc7109:0xa643d425ba2dc1e6,,
coffee swamp,,https://www.google.com/maps/place/coffee+swamp/data=!4m2!3m1!1s0x60188d4780c68ec3:0xa7e373c031915ef0,,
CAFE BEVANDARIA(ベヴァンダリア),,https://www.google.com/maps/place/CAFE+BEVANDARIA(%E3%83%99%E3%83%B4%E3%82%A1%E3%83%B3%E3%83%80%E3%83%AA%E3%82%A2)/data=!4m2!3m1!1s0x60188fe257180a4f:0x5513fc92b8600172,,
WESTSIDE COFFEE ASAKUSA,,https://www.google.com/maps/place/WESTSIDE+COFFEE+ASAKUSA/data=!4m2!3m1!1s0x60188f93ccc9ca57:0x46c0e26439001267,,
KOFFEE MAMEYA,,https://www.google.com/maps/place/KOFFEE+MAMEYA/data=!4m2!3m1!1s0x60188ca378255a07:0x464a32ea35065dff,,
Hamarikyu Gardens,,https://www.google.com/maps/place/Hamarikyu+Gardens/data=!4m2!3m1!1s0x60188bdcbaa0f7c1:0x9b4a9ebdf898381a,,
Kyu-Furukawa Gardens,,https://www.google.com/maps/place/Kyu-Furukawa+Gardens/data=!4m2!3m1!1s0x60188d9108c52f07:0x4cf4f7cf5b8a95ed,,
"Institute for Nature Study, National Museum of Nature and Science",,"https://www.google.com/maps/place/Institute+for+Nature+Study,+National+Museum+of+Nature+and+Science/data=!4m2!3m1!1s0x60188b0ef75b4909:0xef6e28ddc9dfe6a9",,
Happo-en,,https://www.google.com/maps/place/Happo-en/data=!4m2!3m1!1s0x60188b0131752fdb:0x1329e959bd91ac40,,
Nezu Museum,,https://www.google.com/maps/place/Nezu+Museum/data=!4m2!3m1!1s0x60188b63fb3c4ec5:0xd0ca2110e541cb1c,,
Tokyo Rainbow Sewerage Museum,,https://www.google.com/maps/place/Tokyo+Rainbow+Sewerage+Museum/data=!4m2!3m1!1s0x601889ee08eb34db:0xbe57a54a64efa055,,
Daiso Marronnier Gate Ginza Store,,https://www.google.com/maps/place/Daiso+Marronnier+Gate+Ginza+Store/data=!4m2!3m1!1s0x60188b4db605e63d:0x6a012d2d4ee67e6,,
MUJI Ginza,,https://www.google.com/maps/place/MUJI+Ginza/data=!4m2!3m1!1s0x60188baa38aecf7d:0xab5a3452172b5f9,,
Loft,,https://www.google.com/maps/place/Loft/data=!4m2!3m1!1s0x60188ca85add52bf:0xc942f69271e3b8b4,,
Ginza Itoya,For Laurita,https://www.google.com/maps/place/Ginza+Itoya/data=!4m2!3m1!1s0x60188be4000a0029:0x8a7da075396968c0,,
Uniqlo Ginza Flagship Store,,https://www.google.com/maps/place/Uniqlo+Ginza+Flagship+Store/data=!4m2!3m1!1s0x60188be66e07d36f:0x45e536859ebe18d3,,
Rainbow Bridge,Yurikamome train,https://www.google.com/maps/place/Rainbow+Bridge/data=!4m2!3m1!1s0x60188a309545656d:0x20fcbb1fa37a99af,,
Shinjuku Golden-Gai,,https://www.google.com/maps/place/Shinjuku+Golden-Gai/data=!4m2!3m1!1s0x60188cd96586b9af:0x71a5c0e1150c1a8f,,
GiGO Akihabara Building 3,,https://www.google.com/maps/place/GiGO+Akihabara+Building+3/data=!4m2!3m1!1s0x60188c1d07cce347:0x1d24da42b5e05a3c,,
Ameyoko market,,https://www.google.com/maps/place/Ameyoko+market/data=!4m2!3m1!1s0x60188f00af83b787:0x654b0a29a45fcf0a,,
Akihabara Electric Town,,https://www.google.com/maps/place/Akihabara+Electric+Town/data=!4m2!3m1!1s0x60188c1d829dd5cd:0x772f5995da208987,,
Tokyo Metropolitan Government Building,Free views,https://www.google.com/maps/place/Tokyo+Metropolitan+Government+Building/data=!4m2!3m1!1s0x60188cd4b71a37a1:0xf1665c37f38661e8,,
Prince Shiba Park,,https://www.google.com/maps/place/Prince+Shiba+Park/data=!4m2!3m1!1s0x60188b78bc317e3b:0xd3b9a3a73ad7fa16,,
Ichinoe Sakaigawa Waterside Park,,https://www.google.com/maps/place/Ichinoe+Sakaigawa+Waterside+Park/data=!4m2!3m1!1s0x601887c5cca86d5f:0x22161866840f8b39,,
Shinjuku City,,https://www.google.com/maps/place/Shinjuku+City/data=!4m2!3m1!1s0x60188d2059b7fd4b:0xec61c68fe232efd2,,
Shinjuku Gyoen National Garden,,https://www.google.com/maps/place/Shinjuku+Gyoen+National+Garden/data=!4m2!3m1!1s0x60188cc21b93233f:0x6a1eb1b5a117f287,,
Shibuya Sky,,https://www.google.com/maps/place/Shibuya+Sky/data=!4m2!3m1!1s0x60188b6825f61ae1:0x6ff47ee61e522473,,
