Title,Note,URL,Tags,Comment
,,,,
Sensō-ji,Early morning,https://www.google.com/maps/place/Sens%C5%8D-ji/data=!4m2!3m1!1s0x60188ec1a4463df1:0x6c0d289a8292810d,,
Pieniny National Park,,https://www.google.com/maps/place/Pieniny+National+Park/data=!4m2!3m1!1s0x473e03bc856f1d25:0xbb768bda4e2d12c7,,
Tokyo Disneyland,,https://www.google.com/maps/place/Tokyo+Disneyland/data=!4m2!3m1!1s0x60187d03114737b3:0xe4d93636d509d3cb,,
Tokyo DisneySea,,https://www.google.com/maps/place/Tokyo+DisneySea/data=!4m2!3m1!1s0x60187d03114737b3:0x41471d704ab72d25,,
Mt. Mitsutoge Peak Viewing Platform,,https://www.google.com/maps/place/Mt.+Mitsutoge+Peak+Viewing+Platform/data=!4m2!3m1!1s0x60195dd270e431ef:0x58c550d2caaa4995,,
Oishi Park,,https://www.google.com/maps/place/Oishi+Park/data=!4m2!3m1!1s0x60195fa68c0b2b95:0xa22e530b3a652904,,
Rusugaiwa (Rusu Rock),,https://www.google.com/maps/place/Rusugaiwa+(Rusu+Rock)/data=!4m2!3m1!1s0x60195f9802408c37:0x4f32529cbd669e6b,,
Mount Omuro Climbing Chairlifts,,https://www.google.com/maps/place/Mount+Omuro+Climbing+Chairlifts/data=!4m2!3m1!1s0x6019c3312b1b12d9:0x7bd81e0ba3d0eaf9,,
Mt. Omuro,,https://www.google.com/maps/place/Mt.+Omuro/data=!4m2!3m1!1s0x6019c33394b29b1f:0xee6eb9c6e8a9e7e8,,
Izu-Tobu,,https://www.google.com/maps/place/Izu-Tobu/data=!4m2!3m1!1s0x6019dccb6e7b54c9:0xc9b574f328871158,,
Tsubakuro-jima,,https://www.google.com/maps/place/Tsubakuro-jima/data=!4m2!3m1!1s0x6019db2d7adedd1d:0x9fd6594dc9811013,,
Cape Kadowaki,,https://www.google.com/maps/place/Cape+Kadowaki/data=!4m2!3m1!1s0x6019db727416ee47:0xc1f0ac9bb1774c06,,
Jogasaki Coast,,https://www.google.com/maps/place/Jogasaki+Coast/data=!4m2!3m1!1s0x6019db691c5b3e3f:0xc25bdc9a934e34cc,,
Kadowaki Suspension Bridge,,https://www.google.com/maps/place/Kadowaki+Suspension+Bridge/data=!4m2!3m1!1s0x6019db51eb9a2d6b:0x43148bb0dc9e0944,,
城ケ崎の碑,,https://www.google.com/maps/place/%E5%9F%8E%E3%82%B1%E5%B4%8E%E3%81%AE%E7%A2%91/data=!4m2!3m1!1s0x6019db1266c9bb57:0xb824272273de647a,,
teamLab Borderless: MORI Building DIGITAL ART MUSEUM,,https://www.google.com/maps/place/teamLab+Borderless:+MORI+Building+DIGITAL+ART+MUSEUM/data=!4m2!3m1!1s0x601889fad49a9443:0x5831aba3288d2651,,
WOMB,,https://www.google.com/maps/place/WOMB/data=!4m2!3m1!1s0x60188caa14bf5541:0x47a02a52c7050543,,
KITTE Marunouchi,,https://www.google.com/maps/place/KITTE+Marunouchi/data=!4m2!3m1!1s0x60188bfa4ae94675:0x9f64e11ee9dc660a,,
Azabudai Hills,,https://www.google.com/maps/place/Azabudai+Hills/data=!4m2!3m1!1s0x60188b2e40342225:0x3f9a1673138a69c1,,
Prince Shiba Park,,https://www.google.com/maps/place/Prince+Shiba+Park/data=!4m2!3m1!1s0x60188b78bc317e3b:0xd3b9a3a73ad7fa16,,
109 Cinemas Premium Shinjuku,,https://www.google.com/maps/place/109+Cinemas+Premium+Shinjuku/data=!4m2!3m1!1s0x60188d782f382b65:0x4b50c914eb8057,,
Nakamise Shopping Street,,https://www.google.com/maps/place/Nakamise+Shopping+Street/data=!4m2!3m1!1s0x60188ec130fbdd3d:0x5135221a7fa19dbc,,
Ameyoko market,,https://www.google.com/maps/place/Ameyoko+market/data=!4m2!3m1!1s0x60188f00af83b787:0x654b0a29a45fcf0a,,
"Yasuda Auditorium, The University of Tokyo",,"https://www.google.com/maps/place/Yasuda+Auditorium,+The+University+of+Tokyo/data=!4m2!3m1!1s0x60188dd1442c9c05:0xf6300e91d5641908",,
The University of Tokyo,,https://www.google.com/maps/place/The+University+of+Tokyo/data=!4m2!3m1!1s0x60188c2ffa206ea3:0x30e407498313ba95,,
